gene_short_name,A_1,A_2,A_3,B_1,B_2,B_3,C_1,C_2,C_3,D_1,D_2,D_3
HNRNPC,18.9985,18.8094,19.2181,18.1876,18.43935,18.6087,17.78215,18.254325,18.304,17.3767,18.0693,17.9993
ZFAND2A,11.827,11.6186,12.2607,11.87945,12.0675,12.6681,11.905675,12.29195,12.8718,11.9319,12.5164,13.0755
FCF1,15.5194,12.2925,13.254,11.717645,11.87095,11.591845,9.8167675,11.660175,10.7607675,7.91589,11.4494,9.92969
AREL1,8.29257,8.29193,7.28307,7.50699,7.71822,6.598545,7.1142,7.431365,6.2562825,6.72141,7.14451,5.91402
AACS(2of2),5.08312,3.8294,4.27728,3.764155,3.62326,4.23883,3.1046725,3.52019,4.219605,2.44519,3.41712,4.20038
MB21D2,1.09867,1.20807,0.818848,1.470515,1.565065,0.7584585,1.6564375,1.7435625,0.72826375,1.84236,1.92206,0.698069
AGO2,2.07122,2.58495,2.16685,2.58691,2.483175,2.473705,2.844755,2.4322875,2.6271325,3.1026,2.3814,2.78056
IL1RAP(3of3),1.00386,1.27212,1.9616,1.09712,1.0215385,1.3019425,1.14375,0.89624775,0.97211375,1.19038,0.770957,0.642285
FKBP10B,6.19667,6.08982,6.60437,5.96917,6.09509,6.74118,5.85542,6.097725,6.809585,5.74167,6.10036,6.87799
YTHDF1(2of2),15.3295,14.4465,12.4731,13.868,13.63855,10.82369,13.13725,13.234575,9.998985,12.4065,12.8306,9.17428
PARL(2of2),3.30239,3.64997,3.83986,3.253695,3.45027,3.244635,3.2293475,3.35042,2.9470225,3.205,3.25057,2.64941
DNAJC7(1of2),29.9371,27.4628,28.8047,28.66925,27.6492,25.56305,28.035325,27.7424,23.942225,27.4014,27.8356,22.3214
ACLYB,9.59437,10.2326,9.77853,9.766315,9.87469,9.513175,9.8522875,9.695735,9.3804975,9.93826,9.51678,9.24782
CR762475.1(1of15),1.30717,0.812196,1.33354,0.7500075,0.406098,1.0428915,0.47142625,0.203049,0.89756725,0.192845,0,0.752243
MTHFD1,19.5752,23.2676,22.3171,17.2277,20.44925,24.0934,16.05395,19.040075,24.98155,14.8802,17.6309,25.8697
FGFR1OP,10.3489,11.1591,10.738,11.17965,11.8702,11.86385,11.595025,12.22575,12.426775,12.0104,12.5813,12.9897
F2RL1(1of2),29.5195,28.4973,29.3453,32.5919,29.03415,34.54335,34.1281,29.302575,37.142375,35.6643,29.571,39.7414
STAT5.1(1of6),3.30643,2.4332,3.24573,2.812995,2.529525,3.199125,2.5662775,2.5776875,3.1758225,2.31956,2.62585,3.15252
GGH(2of4),0.298985,0,0.0807913,1.7452125,0.481118,0.08037175,2.46832625,0.721677,0.080161975,3.19144,0.962236,0.0799522
HMG20A,14.0293,10.8278,11.367,14.69455,12.74615,13.427,15.027175,13.705325,14.457,15.3598,14.6645,15.487
NAGA,125.005,108.172,117.662,95.25595,95.10815,103.81845,80.381425,88.576225,96.896675,65.5069,82.0443,89.9749
MRPS18A(2of2),38.3338,37.3256,46.7995,38.1428,39.27965,42.30445,38.0473,40.256675,40.056925,37.9518,41.2337,37.8094
VEGFA(1of2),29.038,31.1483,52.4782,31.1411,30.19305,41.8088,32.19265,29.715425,36.4741,33.2442,29.2378,31.1394
GADD45G(2of2),147.498,153.195,128.097,168.2735,99.40855,82.46325,178.66125,72.515325,59.646375,189.049,45.6221,36.8295
NIM1K(2of3),28.8533,26.5615,32.4226,32.81655,30.868,34.54035,34.798175,33.02125,35.599225,36.7798,35.1745,36.6581
GHR(1of4),2.25148,1.96134,1.23544,2.46589,1.925385,2.033015,2.573095,1.9074075,2.4318025,2.6803,1.88943,2.83059
ZNF131,5.77484,5.97705,5.3038,5.428485,5.646335,5.381045,5.2553075,5.4809775,5.4196675,5.08213,5.31562,5.45829
SEPP1A,462.915,534.112,351.843,428.148,416.0725,390.2865,410.7645,357.05275,409.50825,393.381,298.033,428.73
PLEKHH2(1of2),0.817577,0.967769,0.663546,1.6941835,1.3550745,1.555358,2.13248675,1.54872725,2.001264,2.57079,1.74238,2.44717
RNF7,14.9814,17.8823,17.793,16.5707,20.22645,19.87765,17.36535,21.398525,20.919975,18.16,22.5706,21.9623
FZD9,8.36175,11.1604,13.8264,12.028975,13.47325,10.820585,13.8625875,14.629675,9.3176775,15.6962,15.7861,7.81477
HIP1,20.0155,19.1757,20.0174,19.56425,20.7608,20.4146,19.338625,21.55335,20.6132,19.113,22.3459,20.8118
ZGC:63480,51.2204,53.7888,46.4352,50.29755,49.29495,45.0897,49.836125,47.048025,44.41695,49.3747,44.8011,43.7442
BAZ1B,12.521,11.4742,11.6952,10.89893,10.095025,9.50195,10.087895,9.4054375,8.405325,9.27686,8.71585,7.3087
GDPD1,5.65643,7.93752,9.71434,11.955815,11.00261,16.44387,15.1055075,12.535155,19.808635,18.2552,14.0677,23.1734
NEO1(2of3),0.681621,1.59655,0.357433,1.0529355,1.627165,1.1268365,1.23859275,1.6424725,1.51153825,1.42425,1.65778,1.89624
PRSS23(1of2),9.19098,6.38808,6.34359,6.125555,5.75515,5.670385,4.5928425,5.438685,5.3337825,3.06013,5.12222,4.99718
TMEM39A,2.33238,2.25574,2.51519,2.54262,2.666045,2.71487,2.64774,2.8711975,2.81471,2.75286,3.07635,2.91455
GLTSCR2(3of3),67.9253,68.5712,58.7151,57.24115,56.97705,54.8553,51.899075,51.179975,52.9254,46.557,45.3829,50.9955
FXYD6(3of3),0.706497,1.11154,0.994219,2.2709935,1.38106,0.833865,3.05324175,1.51582,0.753688,3.83549,1.65058,0.673511
SI:DKEYP-92C9.3,0.700156,1.58268,1.44893,2.584748,2.461025,1.207951,3.527044,2.9001975,1.0874615,4.46934,3.33937,0.966972
MISP(2of2),0.669145,0.542799,0.959223,0.8927925,0.7469445,1.7505715,1.00461625,0.84901725,2.14624575,1.11644,0.95109,2.54192
PCNXL3,5.28216,5.13546,5.20196,5.330105,5.09124,4.82317,5.3540775,5.06913,4.633775,5.37805,5.04702,4.44438
MON2(1of2),4.27061,3.63936,3.35533,4.63148,3.926855,3.74411,4.811915,4.0706025,3.9385,4.99235,4.21435,4.13289
SI:DKEY-71L1.3(3of4),1.69113,1.90916,1.32839,1.725295,2.091015,1.497955,1.7423775,2.1819425,1.5827375,1.75946,2.27287,1.66752
DLAT,55.5879,53.8263,58.7409,53.19995,51.16695,54.61455,52.005975,49.837275,52.551375,50.812,48.5076,50.4882
CHDH(1of2),7.91021,7.07581,7.02339,8.837255,8.18663,7.052655,9.3007775,8.74204,7.0672875,9.7643,9.29745,7.08192
LIPH,0.160582,0.444762,0.469426,2.216866,1.650081,0.567568,3.245008,2.2527405,0.616639,4.27315,2.8554,0.66571
JPH1(2of2),15.5508,14.7296,14.6655,14.0922,11.250515,11.734515,13.3629,9.5109725,10.2690225,12.6336,7.77143,8.80353
CTTN,36.4719,32.3951,33.1163,33.08615,30.37935,30.73025,31.393275,29.371475,29.537225,29.7004,28.3636,28.3442
ZGC:171298,9.52965,9.11024,9.34312,8.84852,7.791765,8.346225,8.507955,7.1325275,7.8477775,8.16739,6.47329,7.34933
NTAN1,4.36363,6.18803,6.20568,4.91164,6.30224,6.03351,5.185645,6.359345,5.947425,5.45965,6.41645,5.86134
GEMIN6,1.94906,2.15669,2.8016,1.725885,1.863555,2.16998,1.6142975,1.7169875,1.85417,1.50271,1.57042,1.53836
SLC29A2(2of3),2.79441,3.62639,3.96347,3.70123,3.6353,3.442445,4.15464,3.639755,3.1819325,4.60805,3.64421,2.92142
SVIL(2of3),20.3541,21.0404,20.308,19.36945,20.10035,20.37155,18.877125,19.630325,20.403325,18.3848,19.1603,20.4351
NMT1,6.43446,4.82895,6.01844,10.14303,4.432785,6.21626,11.997315,4.2347025,6.31517,13.8516,4.03662,6.41408
SI:DKEYP-84F3.3(2of2),6.15616,6.19973,6.09423,7.58987,5.879635,7.18321,8.306725,5.7195875,7.7277,9.02358,5.55954,8.27219
PKP4(1of3),11.9124,11.153,11.9922,10.835985,11.06055,13.31665,10.2977775,11.014325,13.978875,9.75957,10.9681,14.6411
SIRT3,5.75195,6.09615,6.99603,5.98873,6.855585,7.81307,6.10712,7.2353025,8.22159,6.22551,7.61502,8.63011
CARTPT(3of4),1.37529,2.00502,0.980458,1.1048485,1.70834,1.218739,0.96962775,1.56,1.3378795,0.834407,1.41166,1.45702
INPP5A(1of2),7.8145,7.73369,7.35223,8.59746,8.7878,8.885415,8.98894,9.314855,9.6520075,9.38042,9.84191,10.4186
ARHGEF2(4of4),2.6123,3.42493,3.3191,2.583605,3.274965,2.422565,2.5692575,3.1999825,1.9742975,2.55491,3.125,1.52603
IQGAP3,1.07516,1.5315,3.41208,1.833245,1.2307615,2.063145,2.2122875,1.08039225,1.3886775,2.59133,0.930023,0.71421
PMVK,6.17142,5.78185,5.8553,5.09224,5.2931,5.485905,4.55265,5.048725,5.3012075,4.01306,4.80435,5.11651
PNP(6of6),0.133662,0.058013,0.995716,4.751251,1.0506765,0.52535785,7.0600455,1.54700825,0.290178775,9.36884,2.04334,0.0549997
TPM1(2of2),60.678,50.1771,61.7909,63.5574,58.1284,60.30925,64.9971,62.10405,59.568425,66.4368,66.0797,58.8276
ATXN1(1of2),2.07283,2.62101,2.5926,4.16762,3.67619,2.02646,5.215015,4.20378,1.74339,6.26241,4.73137,1.46032
IRF10,0.384068,0.853805,0.702336,1.054659,2.5006525,0.6565165,1.3899545,3.32407625,0.63360675,1.72525,4.1475,0.610697
PARP14(1of6),19.2754,33.3274,22.1536,17.03795,27.9753,20.8547,15.919225,25.29925,20.20525,14.8005,22.6232,19.5558
ZGC:66448,5.94145,6.04236,5.81687,6.01433,6.092895,6.076575,6.05077,6.1181625,6.2064275,6.08721,6.14343,6.33628
DCBLD1,17.0423,15.0456,15.4819,18.17175,14.671,17.41415,18.736475,14.4837,18.380275,19.3012,14.2964,19.3464
CR536621.1(2of4),0.846844,0.95926,1.56467,1.158427,1.030635,1.167508,1.3142185,1.0663225,0.968927,1.47001,1.10201,0.770346
ZGC:175096,4.39099,4.50784,4.24506,3.898935,4.23892,4.112345,3.6529075,4.10446,4.0459875,3.40688,3.97,3.97963
SI:DKEY-182I3.8(26of37),2.071,1.97363,1.80275,1.63297,2.03733,1.5845,1.413955,2.06918,1.475375,1.19494,2.10103,1.36625
ZNF239,7.83083,6.71101,6.77616,7.20305,6.948215,7.04047,6.88916,7.0668175,7.172625,6.57527,7.18542,7.30478
BRWD1,5.65084,5.91047,5.39606,5.614365,5.425825,5.07376,5.5961275,5.1835025,4.91261,5.57789,4.94118,4.75146
CARD9(2of2),0,1.04064,0.863489,1.474435,1.63866,0.538085,2.2116525,1.93767,0.375383,2.94887,2.23668,0.212681
WRB,17.4789,14.0577,16.6991,17.0716,15.33395,16.75505,16.86795,15.972075,16.783025,16.6643,16.6102,16.811
USP48(3of5),2.51663,2.85046,2.71057,2.651065,2.834665,2.773805,2.7182825,2.8267675,2.8054225,2.7855,2.81887,2.83704
WLS(3of3),7.6695,8.42174,9.24931,8.246615,8.955115,9.31025,8.5351725,9.2218025,9.34072,8.82373,9.48849,9.37119
BTAF1(1of5),17.3192,17.526,15.8777,16.7837,18.17145,16.90675,16.51595,18.494175,17.421275,16.2482,18.8169,17.9358
BTAF1(3of5),5.98621,6.1177,5.63211,6.88697,7.520395,6.208255,7.33735,8.2217425,6.4963275,7.78773,8.92309,6.7844
MYOF(2of2),1.58324,1.21293,1.39559,1.34431,1.2197,1.427905,1.224845,1.223085,1.4440625,1.10538,1.22647,1.46022
SI:CH211-131K2.3,2.89787,2.5011,3.12175,2.479315,2.848235,3.47316,2.2700375,3.0218025,3.648865,2.06076,3.19537,3.82457
SI:DKEY-20D21.12,44.5562,41.0296,54.326,48.62665,47.13995,65.6563,50.661875,50.195125,71.32145,52.6971,53.2503,76.9866
PRKAR2A(2of2),12.2739,11.6575,10.7015,11.46115,10.298585,9.45255,11.054775,9.6191275,8.828075,10.6484,8.93967,8.2036
HIBCH,28.701,24.959,28.6722,27.794,25.49365,27.6028,27.3405,25.760975,27.0681,26.887,26.0283,26.5334
LSS,0.952636,1.05856,1.14589,1.020598,0.892348,0.988288,1.054579,0.809242,0.909487,1.08856,0.726136,0.830686
C2ORF88,6.07632,7.2691,7.72074,6.695065,6.533635,6.66077,7.0044375,6.1659025,6.130785,7.31381,5.79817,5.6008
ACCS,3.33301,3.46796,3.49695,3.29686,3.306505,3.19632,3.278785,3.2257775,3.046005,3.26071,3.14505,2.89569
AMT,8.94344,9.48288,9.33016,7.972845,8.350775,8.430285,7.4875475,7.7847225,7.9803475,7.00225,7.21867,7.53041
ZNF235(89of128),2.28603,2.27149,2.08551,2.23616,2.393185,1.980305,2.211225,2.4540325,1.9277025,2.18629,2.51488,1.8751
SI:DKEY-182I3.8(36of37),2.35894,2.65449,1.88391,2.64713,2.66962,2.344395,2.791225,2.677185,2.5746375,2.93532,2.68475,2.80488
CCL20(1of4),1.26684,0.636695,0.827923,1.1092225,1.1173625,0.825554,1.03041375,1.35769625,0.8243695,0.951605,1.59803,0.823185
PIP5K1C,8.76702,6.8037,8.66364,8.106445,6.83714,7.74529,7.7761575,6.85386,7.286115,7.44587,6.87058,6.82694
TSPAN11,57.5998,58.5476,64.518,57.3171,54.00555,63.4115,57.17575,51.734525,62.85825,57.0344,49.4635,62.305
EFCAB4BB,2.6274,2.20833,2.17095,2.3466,2.223205,2.071355,2.2062,2.2306425,2.0215575,2.0658,2.23808,1.97176
TMTC2(2of2),13.3713,19.1494,17.4595,10.720335,12.875095,11.251455,9.3948525,9.7379425,8.1474325,8.06937,6.60079,5.04341
METTL25,1.77409,1.99032,2.44849,1.42372,1.64435,1.82046,1.248535,1.471365,1.506445,1.07335,1.29838,1.19243
BYSL,2.89924,2.55644,2.22879,2.20594,2.22393,1.86332,1.85929,2.057675,1.680585,1.51264,1.89142,1.49785
NUAK2,7.08073,7.14664,7.98933,7.22718,7.40137,7.47426,7.300405,7.528735,7.216725,7.37363,7.6561,6.95919
USP49,2.253,2.93961,2.4908,2.58824,3.22245,2.80507,2.75586,3.36387,2.962205,2.92348,3.50529,3.11934
MED20,2.25709,2.1632,2.49449,2.244015,2.279555,2.388215,2.2374775,2.3377325,2.3350775,2.23094,2.39591,2.28194
GABRP(4of5),41.5706,47.0879,34.4453,39.9029,43.4129,32.24985,39.06905,41.5754,31.152125,38.2352,39.7379,30.0544
POLD1,2.1926,2.12624,3.47978,1.852145,1.515304,2.297135,1.6819175,1.209836,1.7058125,1.51169,0.904368,1.11449
HSPBP1,9.50997,8.6675,8.83373,7.87933,7.425645,7.47548,7.06401,6.8047175,6.796355,6.24869,6.18379,6.11723
ZGC:55558,12.7726,12.4904,12.2707,11.34782,12.20375,10.8741,10.63543,12.060425,10.1758,9.92304,11.9171,9.4775
GYS1,82.533,84.203,84.0084,80.16445,72.2328,73.35125,78.980175,66.2477,68.022675,77.7959,60.2626,62.6941
TUFM(1of2),156.816,157.31,159.107,153.813,148.633,152.082,152.3115,144.2945,148.5695,150.81,139.956,145.057
PTPN2A(1of2),6.70326,6.25988,7.47279,6.38369,6.09097,4.941405,6.223905,6.006515,3.6757125,6.06412,5.92206,2.41002
VDR(2of2),5.61481,5.47211,5.58638,6.76683,5.952735,6.76956,7.34284,6.1930475,7.36115,7.91885,6.43336,7.95274
YAP1(2of3),21.6009,21.459,22.346,21.88605,22.41495,23.9422,22.028625,22.892925,24.7403,22.1712,23.3709,25.5384
SLC25A15B(2of2),0.891573,0.724508,1.03601,1.1353465,1.040159,1.111445,1.25723325,1.1979845,1.1491625,1.37912,1.35581,1.18688
FOXO1A,2.77783,4.15881,2.48859,5.023275,3.839225,4.609315,6.1459975,3.6794325,5.6696775,7.26872,3.51964,6.73004
MAML2(1of2),3.04654,3.4595,3.44735,3.485015,3.97092,5.14519,3.7042525,4.22663,5.99411,3.92349,4.48234,6.84303
GAB2,9.61482,8.40389,9.01918,8.65714,7.714485,8.001995,8.1783,7.3697825,7.4934025,7.69946,7.02508,6.98481
MAML2(2of2),2.94684,3.6447,2.92697,3.28472,3.6456,4.25305,3.45366,3.64605,4.91609,3.6226,3.6465,5.57913
PRKCQ,0.196752,0.403304,0.302813,0.931461,1.365797,0.227343,1.2988155,1.8470435,0.189608,1.66617,2.32829,0.151873
GNSA(1of2),8.55933,9.46123,6.90952,8.1143,8.52151,7.54764,7.891785,8.05165,7.8667,7.66927,7.58179,8.18576
GNSA(2of2),3.63102,8.15445,8.16723,3.426435,5.89304,6.586485,3.3241425,4.762335,5.7961125,3.22185,3.63163,5.00574
TBC1D30,1.01875,1.07628,0.942371,0.9707795,0.946509,0.8214935,0.94679425,0.8816235,0.76105475,0.922809,0.816738,0.700616
PPP1R3C(2of2),25.4868,22.1135,30.8011,18.77855,17.2442,27.1096,15.424425,14.80955,25.26385,12.0703,12.3749,23.4181
ZNF569(3of9),4.50771,3.47482,4.29597,3.41686,2.86258,3.46339,2.871435,2.55646,3.0471,2.32601,2.25034,2.63081
GPR126(5of5),1.63304,1.10267,2.15394,1.332105,1.46002,1.968295,1.1816375,1.638695,1.8754725,1.03117,1.81737,1.78265
C16ORF72(2of2),30.5504,25.7624,29.5623,30.3442,27.6978,29.994,30.2411,28.6655,30.20985,30.138,29.6332,30.4257
ARPC1A(2of2),148.832,140.972,160.65,146.9805,143.661,158.5,146.05475,145.0055,157.425,145.129,146.35,156.35
NEDD4L(4of4),9.37187,7.80327,5.74288,9.763585,8.11117,7.77845,9.9594425,8.26512,8.796235,10.1553,8.41907,9.81402
ARPC1B,86.9906,85.615,108.942,109.4488,102.947,102.5854,120.6779,111.613,99.4071,131.907,120.279,96.2288
USP25(2of2),10.2813,11.7555,9.6852,11.3269,12.0538,11.0467,11.8497,12.20295,11.72745,12.3725,12.3521,12.4082
AGTRAP,0.391611,1.25393,0.586992,3.3708305,2.75451,0.66464,4.86044025,3.5048,0.703464,6.35005,4.25509,0.742288
TOMM34,45.4249,52.3443,47.912,42.90785,48.67885,45.49705,41.649325,46.846125,44.289575,40.3908,45.0134,43.0821
YWHAB(3of3),336.843,310.568,345.928,324.8895,320.3505,333.818,318.91275,325.24175,327.763,312.936,330.133,321.708
PANK4(2of2),6.80939,7.79287,6.66367,6.824555,7.59832,7.229295,6.8321375,7.501045,7.5121075,6.83972,7.40377,7.79492
PANK4(1of2),4.69602,5.73997,4.55785,4.42552,4.906565,4.936245,4.29027,4.4898625,5.1254425,4.15502,4.07316,5.31464
CHMP4B,26.5352,28.3618,30.2521,32.7369,29.2392,27.4194,35.83775,29.6779,26.00305,38.9386,30.1166,24.5867
ASB13B,7.087,6.2075,5.96836,5.68433,5.706675,5.392785,4.982995,5.4562625,5.1049975,4.28166,5.20585,4.81721
MAP2K6(1of2),14.9208,12.5552,12.7701,13.4356,13.40495,12.23945,12.693,13.829825,11.974125,11.9504,14.2547,11.7088
ZNF721(5of5),5.52149,6.17683,5.81421,6.11148,6.92128,6.295715,6.406475,7.293505,6.5364675,6.70147,7.66573,6.77722
KIFAP3(2of2),6.38845,5.76264,5.93106,5.932805,5.95886,5.92865,5.7049825,6.05697,5.927445,5.47716,6.15508,5.92624
OLFML2A(1of2),7.26495,9.67454,5.18592,5.97063,7.822985,7.30804,5.32347,6.8972075,8.3691,4.67631,5.97143,9.43016
FAM129A,1.80075,2.81145,2.60746,3.92847,4.925135,2.43194,4.99233,5.9819775,2.34418,6.05619,7.03882,2.25642
DUSP12,8.33646,7.8194,8.23238,7.556085,9.08475,7.993045,7.1658975,9.717425,7.8733775,6.77571,10.3501,7.75371
DPYDB,2.60267,2.34987,2.97634,2.421865,2.623345,3.06006,2.3314625,2.7600825,3.10192,2.24106,2.89682,3.14378
PTBP2B,16.5726,17.3698,17.4051,15.9312,16.3454,15.67635,15.6105,15.8332,14.811975,15.2898,15.321,13.9476
CHD7,6.38674,7.4429,5.44412,7.084445,7.059855,6.18031,7.4332975,6.8683325,6.548405,7.78215,6.67681,6.9165
TPR,10.1301,10.0769,8.31934,8.79381,8.559895,7.55242,8.125665,7.8013925,7.16896,7.45752,7.04289,6.7855
USP36,7.19099,7.86224,7.2295,7.40239,7.799025,7.63336,7.50809,7.7674175,7.83529,7.61379,7.73581,8.03722
ZCCHC5(73of111),2.33065,2.68726,2.61917,1.94784,2.63439,2.285225,1.756435,2.607955,2.1182525,1.56503,2.58152,1.95128
ZAK,42.0255,39.6005,40.2734,38.8227,34.5525,38.8546,37.2213,32.0285,38.1452,35.6199,29.5045,37.4358
ITGA6(1of2),2.40946,2.74667,2.25904,4.429335,4.199035,5.14708,5.4392725,4.9252175,6.5911,6.44921,5.6514,8.03512
TOP2A,5.13273,6.22891,10.1927,6.3758,4.872535,6.334835,6.997335,4.1943475,4.4059025,7.61887,3.51616,2.47697
NEDD4L(1of4),11.3678,8.76848,7.15982,12.4694,10.28679,10.69481,13.0202,11.045945,12.462305,13.571,11.8051,14.2298
PDGFRA,22.1415,20.195,19.0154,20.98315,23.4615,21.29895,20.403975,25.09475,22.440725,19.8248,26.728,23.5825
SBDS,10.1441,9.19405,10.6558,9.77313,9.06689,10.38915,9.587645,9.00331,10.255825,9.40216,8.93973,10.1225
TYW1(2of2),11.8822,11.6065,11.6608,14.12335,10.459275,10.377455,15.243925,9.8856625,9.7357825,16.3645,9.31205,9.09411
KIF13A(6of6),1.94536,2.32435,2.00031,2.043525,1.89971,1.840715,2.0926075,1.68739,1.7609175,2.14169,1.47507,1.68112
S100A6,16.819,14.9215,22.0757,14.5297,15.84285,20.5846,13.38505,16.303525,19.83905,12.2404,16.7642,19.0935
SNX27,2.35898,2.32777,1.76458,2.21036,2.207005,1.75404,2.13605,2.1466225,1.74877,2.06174,2.08624,1.7435
S100A1(1of2),24.995,25.8286,28.6295,26.91475,26.9143,33.967,27.874625,27.45715,36.63575,28.8345,28,39.3045
FNBP1L,6.87428,6.6233,6.04699,6.26475,5.783245,5.41123,5.959985,5.3632175,5.09335,5.65522,4.94319,4.77547
BCAR3,4.94995,4.75978,5.50432,6.391175,6.70181,10.93026,7.1117875,7.672825,13.64323,7.8324,8.64384,16.3562
ALAD,34.6726,27.8283,30.8146,33.9389,33.1649,35.4233,33.57205,35.8332,37.72765,33.2052,38.5015,40.032
ITPR1(5of6),0.285225,1.97778,0.176548,2.1714375,1.2530525,0.234455,3.11454375,0.89068875,0.2634085,4.05765,0.528325,0.292362
SI:CH73-374J3.1(3of4),6.92449,7.12254,5.88491,6.73517,7.452805,5.99216,6.64051,7.6179375,6.045785,6.54585,7.78307,6.09941
ZGC:158666(3of3),14.1887,4.26545,14.4674,11.434695,12.261125,13.8523,10.0576925,16.2589625,13.54475,8.68069,20.2568,13.2372
ZNF532,1.39738,1.21367,1.04855,1.327235,1.34227,1.481485,1.2921625,1.40657,1.6979525,1.25709,1.47087,1.91442
NFURG02469020200,4.5879,4.77261,4.15391,3.407435,4.25718,3.87577,2.8172025,3.999465,3.7367,2.22697,3.74175,3.59763
NRTN(2of2),2.7679,2.64888,1.22586,2.77486,2.34697,1.642955,2.77834,2.196015,1.8515025,2.78182,2.04506,2.06005
CARHSP1,73.0484,77.1158,84.2435,79.40815,80.9504,90.40925,82.588025,82.8677,93.492125,85.7679,84.785,96.575
PPP1R9B,13.4433,13.8558,12.4904,12.03245,12.137,12.1739,11.327025,11.2776,12.01565,10.6216,10.4182,11.8574
PRPSAP2,10.139,11.4238,9.46994,8.534785,9.517975,8.847715,7.7326775,8.5650625,8.5366025,6.93057,7.61215,8.22549
LMAN1,31.3827,28.0944,29.451,24.94695,23.00415,22.3629,21.729075,20.459025,18.81885,18.5112,17.9139,15.2748
CDC42(1of6),99.9836,91.5498,100.09,91.01745,86.47695,90.3056,86.534375,83.940525,85.4134,82.0513,81.4041,80.5212
RNPS1,45.7157,43.5761,45.7884,39.47905,38.74385,39.6362,36.360725,36.327725,36.5601,33.2424,33.9116,33.484
CDCA7A,20.3562,21.9641,34.3526,12.20319,12.17143,18.315575,8.126685,7.275095,10.2970625,4.05018,2.37876,2.27855
SUPT6H,8.45731,8.49295,6.56813,8.144305,7.68152,6.823785,7.9878025,7.275805,6.9516125,7.8313,6.87009,7.07944
SSH2,43.5407,34.6658,43.6319,33.63685,29.9718,38.4452,28.684925,27.6248,35.85185,23.733,25.2778,33.2585
TAOK1(3of5),4.05028,3.84519,3.00958,4.325625,4.13052,3.800455,4.4632975,4.273185,4.1958925,4.60097,4.41585,4.59133
NSRP1,25.5891,21.8412,22.371,24.57375,21.93455,23.3607,24.066075,21.981225,23.85555,23.5584,22.0279,24.3504
SDF2,23.2318,18.4084,22.7206,20.1132,20.6093,20.8565,18.5539,21.70975,19.92445,16.9946,22.8102,18.9924
ZNF407(2of3),3.68386,3.23327,2.97257,3.70146,3.5525,3.597595,3.71026,3.712115,3.9101075,3.71906,3.87173,4.22262
ITGA11A(1of2),6.65013,5.09938,6.28983,5.422075,4.555215,6.350655,4.8080475,4.2831325,6.3810675,4.19402,4.01105,6.41148
FEM1B,5.17363,4.33877,4.00254,4.650195,4.648785,4.19869,4.3884775,4.8037925,4.296765,4.12676,4.9588,4.39484
RDX(1of4),67.08,82.7872,77.475,73.56075,83.9147,64.3898,76.801125,84.47845,57.8472,80.0415,85.0422,51.3046
ACSS2(2of2),18.3746,17.2427,19.146,16.8678,16.50775,18.1114,16.1144,16.140275,17.5941,15.361,15.7728,17.0768
ATP6AP1,36.6356,34.3362,39.0782,39.96055,33.7086,34.1077,41.623025,33.3948,31.62245,43.2855,33.081,29.1372
TAZ,14.469,13.2069,12.9664,11.88118,11.22764,11.127385,10.58727,10.23801,10.2078775,9.29336,9.24838,9.28837
ZRANB3(3of3),1.29797,1.949,0.895919,1.353435,1.947095,1.0832995,1.3811675,1.9461425,1.17698975,1.4089,1.94519,1.27068
KCNK1B,1.57824,2.10538,2.25431,2.3662,2.777525,2.06413,2.76018,3.1135975,1.96904,3.15416,3.44967,1.87395
ZNF235(69of128),3.33393,2.01847,3.22337,3.54964,2.90425,3.63555,3.657495,3.34714,3.84164,3.76535,3.79003,4.04773
SI:CH211-193K19.2(5of10),1.36817,0.69548,0.198084,1.520655,0.840897,0.4921485,1.5968975,0.9136055,0.63918075,1.67314,0.986314,0.786213
RMDN2(2of3),3.94719,4.29203,4.13545,4.323515,4.34613,4.422615,4.5116775,4.37318,4.5661975,4.69984,4.40023,4.70978
CYP1B1(1of2),5.35599,5.98784,3.40644,3.67394,4.57987,3.20252,2.832915,3.875885,3.10056,1.99189,3.1719,2.9986
CDC42EP3(1of2),13.4637,13.2662,16.6079,9.81788,10.5291,15.81175,7.99497,9.16055,15.413675,6.17206,7.792,15.0156
EFHD1,23.3231,25.3255,24.909,29.87805,27.9232,22.4215,33.155525,29.22205,21.17775,36.433,30.5209,19.934
EMILIN2A,10.9488,11.1296,18.45,10.27317,9.304105,14.08643,9.935355,8.3913575,11.904645,9.59754,7.47861,9.72286
LPIN2(2of2),9.9386,9.98515,9.66473,11.8941,10.265525,10.434115,12.87185,10.4057125,10.8188075,13.8496,10.5459,11.2035
SOCS5,10.1744,12.1247,9.91787,10.024785,10.30724,9.78305,9.9499775,9.39851,9.71564,9.87517,8.48978,9.64823
FAM98A,16.9251,16.5278,14.7489,14.4171,14.4982,13.8563,13.1631,13.4834,13.41,11.9091,12.4686,12.9637
TSHZ3(2of2),0.669142,0.740874,1.10217,0.971841,0.937812,1.79435,1.1231905,1.036281,2.14044,1.27454,1.13475,2.48653
MTSS1(3of3),8.98219,9.79932,7.25142,9.901395,9.579315,10.24706,10.3609975,9.4693125,11.74488,10.8206,9.35931,13.2427
TMEM65(2of4),2.81379,1.66917,1.39652,2.202335,1.52662,1.129651,1.8966075,1.455345,0.9962165,1.59088,1.38407,0.862782
